Name,Ticker,FYE
AVNET INC,AVT,6/30/2020
"TYSON FOODS, INC.",TSN,9/30/2020
EMERSON ELECTRIC CO,EMR,9/30/2020
"WALGREENS BOOTS ALLIANCE, INC.",WBA,8/31/2020
QUALCOMM INC/DE,QCOM,9/30/2020
ACCENTURE PLC,ACN,8/31/2020
AMERISOURCEBERGEN CORP,ABC,9/30/2020
APPLE INC.,AAPL,9/30/2020
APPLIED MATERIALS INC /DE,AMAT,10/31/2020
BECTON DICKINSON & CO,BDX,9/30/2020
CARDINAL HEALTH INC,CAH,6/30/2020
"CISCO SYSTEMS, INC.",CSCO,7/31/2020
COSTCO WHOLESALE CORP /NEW,COST,8/31/2020
DEERE & CO,DE,10/31/2020
FEDEX CORP,FDX,5/31/2020
GENERAL MILLS INC,GIS,5/31/2020
HORTON D R INC /DE/,DHI,9/30/2020
JABIL INC,JBL,8/31/2020
JOHNSON CONTROLS INTERNATIONAL PLC,JCI,9/30/2020
MICRON TECHNOLOGY INC,MU,8/31/2020
Microsoft Corporation,MSFT,6/30/2020
NIKE INC,NKE,5/31/2020
ORACLE CORP,ORCL,5/31/2020
PERFORMANCE FOOD GROUP CO,PFGC,6/30/2020
PROCTER & GAMBLE CO,PG,6/30/2020
STARBUCKS CORP,SBUX,9/30/2020
SYSCO CORP,SYY,6/30/2020
UNITED NATURAL FOODS INC,UNFI,7/31/2020
VISA INC.,V,9/30/2020
WALT DISNEY CO,DIS,9/30/2020
WESTERN DIGITAL CORP,WDC,6/30/2020
WESTROCK CO,WRK,9/30/2020
Microsoft Corporation,MSFT,6/30/2020
